ID	Дата	Показатель
G0329	05.03.2016 1:00	0.252
G0330	05.03.2016 1:04	0.658
G0331	05.03.2016 1:08	0.474
G0332	05.03.2016 1:10	0.561
G0333	05.03.2016 1:13	0.793
G0334	05.03.2016 1:17	0.991
G0335	05.03.2016 1:20	0.645
G0336	05.03.2016 1:23	0.877
G0337	05.03.2016 1:26	0.217
G0338	05.03.2016 1:29	0.059
G0339	05.03.2016 1:30	0.371
G0340	05.03.2016 1:36	0.669
G0341	05.03.2016 1:39	0.2
G0342	05.03.2016 1:43	0.005
G0343	05.03.2016 1:48	0.934
G0344	05.03.2016 1:54	0.944
G0345	05.03.2016 1:56	0.446
G0346	05.03.2016 1:57	0.496
G0347	05.03.2016 2:00	0.121
G0348	05.03.2016 2:03	0.694
G0349	05.03.2016 2:07	0.968
G0350	05.03.2016 2:09	0.554
G0351	05.03.2016 2:10	0.593
G0352	05.03.2016 2:11	0.681
G0353	05.03.2016 2:15	0.665
G0354	05.03.2016 2:16	0.885
G0355	05.03.2016 2:26	0.692
G0356	05.03.2016 2:29	0.443
G0357	05.03.2016 2:31	0.056
G0358	05.03.2016 2:33	0.991
G0359	05.03.2016 2:36	0.194
G0360	05.03.2016 2:38	0.957
G0361	05.03.2016 2:46	0.282
G0362	05.03.2016 2:49	0.611
G0363	05.03.2016 2:50	0.715
G0364	05.03.2016 2:53	0.627
G0365	05.03.2016 2:54	0.736
G0366	05.03.2016 2:56	0.299
G0367	05.03.2016 3:00	0.771
G0368	05.03.2016 3:02	0.519
G0369	05.03.2016 3:04	0.919
G0370	05.03.2016 3:07	0.174
G0371	05.03.2016 3:09	0.724
G0372	05.03.2016 3:12	0.017
G0373	05.03.2016 3:15	0.404
G0374	05.03.2016 3:18	0.145
G0375	05.03.2016 3:23	0.087
G0376	05.03.2016 3:23	0.313
G0377	05.03.2016 3:26	0.996
G0378	05.03.2016 3:33	0.155
G0379	05.03.2016 3:42	0.945
G0380	05.03.2016 3:43	0.422
G0381	05.03.2016 3:50	0.454
G0382	05.03.2016 3:51	0.245
G0383	05.03.2016 3:52	0.454
G0384	05.03.2016 3:53	0.615
G0385	05.03.2016 3:54	0.393
G0386	05.03.2016 3:55	0.48
G0387	05.03.2016 3:57	0.66
G0388	05.03.2016 3:58	0.474
G0389	05.03.2016 4:28	0.212
G0390	05.03.2016 4:28	0.038
G0391	05.03.2016 4:47	0.131
G0225	05.03.2016 4:48	0.97
G0392	05.03.2016 4:48	0.165
G0393	05.03.2016 4:50	0.007
G0394	05.03.2016 4:51	0.121
G0395	05.03.2016 4:54	0.232
G0396	05.03.2016 5:02	0.934
G0397	05.03.2016 5:09	0.683
G0398	05.03.2016 5:15	0.267
G0399	05.03.2016 5:25	0.954
G0226	05.03.2016 5:34	0.316
G0400	05.03.2016 5:36	0.424
G0401	05.03.2016 5:42	0.035
G0402	05.03.2016 5:48	0.585
G0227	05.03.2016 6:00	0.869
G0403	05.03.2016 6:06	0.354
G0228	05.03.2016 6:12	0.418
G0404	05.03.2016 6:13	0.739
G0405	05.03.2016 6:16	0.649
G0406	05.03.2016 6:26	0.456
G0229	05.03.2016 6:30	0.607
G0407	05.03.2016 6:39	0.488
G0230	05.03.2016 6:40	0.379
G0408	05.03.2016 6:46	0.862
G0409	05.03.2016 6:48	0.624
G0231	05.03.2016 6:53	0.473
G0410	05.03.2016 6:58	0.665
G0411	05.03.2016 7:01	0.384
G0232	05.03.2016 7:07	0.152
G0412	05.03.2016 7:10	0.989
G0413	05.03.2016 7:13	0.126
G0233	05.03.2016 7:18	0.578
G0234	05.03.2016 7:24	0.046
G0235	05.03.2016 7:29	0.477
G0414	05.03.2016 7:30	0.531
G0415	05.03.2016 7:41	0.887
G0236	05.03.2016 7:45	0.26
G0237	05.03.2016 7:46	0.087
G0416	05.03.2016 7:48	0.32
G0238	05.03.2016 7:53	0.676
G0239	05.03.2016 7:55	0.169
G0417	05.03.2016 7:55	0.246
G0418	05.03.2016 7:58	0.108
G0240	05.03.2016 8:02	0.179
G0241	05.03.2016 8:03	0.531
G0242	05.03.2016 8:06	0.387
G0419	05.03.2016 8:06	0.03
G0243	05.03.2016 8:14	0.684
G0244	05.03.2016 8:16	0.563
G0245	05.03.2016 8:19	0.273
G0246	05.03.2016 8:19	0.046
G0247	05.03.2016 8:27	0.475
G0420	05.03.2016 8:28	0.869
G0248	05.03.2016 8:30	0.58
G0421	05.03.2016 8:39	0.556
G0422	05.03.2016 8:40	0.352
G0249	05.03.2016 8:46	0.21
G0423	05.03.2016 8:51	0.673
G0250	05.03.2016 8:55	0.937
G0251	05.03.2016 9:04	0.758
G0252	05.03.2016 9:07	0.339
G0253	05.03.2016 9:07	0.726
G0254	05.03.2016 9:11	0.865
G0255	05.03.2016 9:13	0.825
G0256	05.03.2016 9:17	0.396
G0257	05.03.2016 9:21	0.633
G0258	05.03.2016 9:25	0.529
G0259	05.03.2016 9:26	0.867
G0260	05.03.2016 9:29	0.59
G0261	05.03.2016 9:31	0.358
G0262	05.03.2016 9:34	0.09
G0263	05.03.2016 9:38	0.138
G0264	05.03.2016 9:39	0.158
G0265	05.03.2016 9:39	0.664
G0266	05.03.2016 9:41	0.009
G0424	05.03.2016 9:42	0.888
G0267	05.03.2016 9:42	0.831
G0268	05.03.2016 9:49	0.388
G0269	05.03.2016 9:50	0.088
G0270	05.03.2016 9:54	0.016
G0271	05.03.2016 9:55	0.298
G0272	05.03.2016 9:57	0.671
G0273	05.03.2016 9:58	0.343
G0274	05.03.2016 10:07	0.869
G0275	05.03.2016 10:12	0.384
G0276	05.03.2016 10:13	0.839
G0277	05.03.2016 10:13	0.066
G0278	05.03.2016 10:16	0.989
G0279	05.03.2016 10:16	0.962
G0280	05.03.2016 10:20	0.833
G0281	05.03.2016 10:23	0.681
G0282	05.03.2016 10:26	0.839
G0283	05.03.2016 10:28	0.786
G0284	05.03.2016 10:34	0.377
G0285	05.03.2016 10:37	0.264
G0286	05.03.2016 10:39	0.824
G0287	05.03.2016 10:42	0.777
G0288	05.03.2016 10:46	0.296
G0289	05.03.2016 10:53	0.823
G0290	05.03.2016 10:57	0.14
G0291	05.03.2016 11:00	0.458
G0292	05.03.2016 11:01	0.661
G0293	05.03.2016 11:02	0.707
G0294	05.03.2016 11:07	0.258
G0295	05.03.2016 11:11	0.551
G0296	05.03.2016 11:12	0.679
G0425	05.03.2016 11:25	0.75
G0297	05.03.2016 11:28	0.077
G0298	05.03.2016 11:29	0.944
G0299	05.03.2016 11:32	0.506
G0300	05.03.2016 11:39	0.009
G0301	05.03.2016 11:43	0.057
G0302	05.03.2016 11:46	0.539
G0303	05.03.2016 11:47	0.395
G0304	05.03.2016 11:48	0.211
G0305	05.03.2016 11:51	0.872
G0306	05.03.2016 11:52	0.697
G0307	05.03.2016 11:55	0.86
G0308	05.03.2016 12:00	0.254
G0309	05.03.2016 12:02	0.378
G0310	05.03.2016 12:06	0.268
G0311	05.03.2016 12:09	0.777
G0312	05.03.2016 12:11	0.386
G0313	05.03.2016 12:16	0.943
G0314	05.03.2016 12:21	0.445
G0315	05.03.2016 12:22	0.586
G0316	05.03.2016 12:24	0.923
G0317	05.03.2016 12:28	0.448
G0318	05.03.2016 12:32	0.925
G0319	05.03.2016 12:35	0.026
G0320	05.03.2016 12:35	0.594
G0321	05.03.2016 12:37	0.481
G0322	05.03.2016 12:41	0.105
G0323	05.03.2016 12:45	0.067
G0324	05.03.2016 12:47	0.899
G0325	05.03.2016 12:48	0.553
G0326	05.03.2016 12:50	0.309
G0327	05.03.2016 12:59	0.964
G0328	05.03.2016 12:59	0.076
G0553	06.03.2016 1:01	0.35
G0554	06.03.2016 1:02	0.268
G0555	06.03.2016 1:05	0.612
G0556	06.03.2016 1:09	0.527
G0557	06.03.2016 1:12	0.344
G0558	06.03.2016 1:17	0.345
G0559	06.03.2016 1:17	0.604
G0426	06.03.2016 1:19	0.839
G0560	06.03.2016 1:21	0.295
G0561	06.03.2016 1:21	0.242
G0562	06.03.2016 1:23	0.689
G0563	06.03.2016 1:25	0.731
G0564	06.03.2016 1:27	0.448
G0565	06.03.2016 1:28	0.16
G0566	06.03.2016 1:30	0.53
G0567	06.03.2016 1:32	0.555
G0568	06.03.2016 1:35	0.464
G0569	06.03.2016 1:38	0.663
G0570	06.03.2016 1:42	0.952
G0571	06.03.2016 1:53	0.205
G0572	06.03.2016 1:53	0.396
G0573	06.03.2016 1:56	0.72
G0574	06.03.2016 1:58	0.088
G0575	06.03.2016 2:01	0.535
G0576	06.03.2016 2:01	0.24
G0577	06.03.2016 2:04	0.66
G0578	06.03.2016 2:05	0.1
G0579	06.03.2016 2:08	0.661
G0580	06.03.2016 2:08	0.869
G0581	06.03.2016 2:08	0.033
G0582	06.03.2016 2:10	0.398
G0583	06.03.2016 2:12	0.749
G0584	06.03.2016 2:15	0.392
G0585	06.03.2016 2:16	0.593
G0586	06.03.2016 2:23	0.532
G0587	06.03.2016 2:23	0.138
G0588	06.03.2016 2:25	0.243
G0589	06.03.2016 2:28	0.914
G0590	06.03.2016 2:32	0.167
G0591	06.03.2016 2:36	0.928
G0592	06.03.2016 2:38	0.529
G0593	06.03.2016 2:38	0.344
G0594	06.03.2016 2:44	0.826
G0595	06.03.2016 2:50	0.374
G0596	06.03.2016 2:55	0.458
G0597	06.03.2016 2:59	0.307
G0598	06.03.2016 3:03	0.32
G0599	06.03.2016 3:03	0.708
G0600	06.03.2016 3:07	0.873
G0601	06.03.2016 3:10	0.173
G0602	06.03.2016 3:10	0.026
G0603	06.03.2016 3:10	0.242
G0604	06.03.2016 3:14	0.199
G0605	06.03.2016 3:20	0.178
G0606	06.03.2016 3:20	0.449
G0607	06.03.2016 3:23	0.858
G0608	06.03.2016 3:26	0.347
G0609	06.03.2016 3:28	0.144
G0610	06.03.2016 3:32	0.737
G0611	06.03.2016 3:34	0.253
G0612	06.03.2016 3:37	0.378
G0613	06.03.2016 3:38	0.963
G0614	06.03.2016 3:39	0.06
G0615	06.03.2016 3:42	0.547
G0616	06.03.2016 3:45	0.963
G0617	06.03.2016 3:45	0.101
G0618	06.03.2016 3:52	0.042
G0619	06.03.2016 3:52	0.107
G0620	06.03.2016 3:55	0.945
G0621	06.03.2016 3:56	0.584
G0622	06.03.2016 3:58	0.65
G0623	06.03.2016 4:04	0.697
G0624	06.03.2016 4:04	0.541
G0625	06.03.2016 4:07	0.218
G0626	06.03.2016 4:08	0.227
G0627	06.03.2016 4:08	0.325
G0628	06.03.2016 4:19	0.997
G0629	06.03.2016 4:24	0.022
G0630	06.03.2016 4:27	0.581
G0631	06.03.2016 4:34	0.38
G0632	06.03.2016 4:40	0.722
G0633	06.03.2016 4:52	0.102
G0634	06.03.2016 4:55	0.312
G0635	06.03.2016 4:56	0.931
G0636	06.03.2016 4:58	0.212
G0637	06.03.2016 4:59	0.46
G0638	06.03.2016 4:59	0.779
G0639	06.03.2016 5:01	0.289
G0640	06.03.2016 5:03	0.307
G0641	06.03.2016 5:04	0.466
G0642	06.03.2016 5:05	0.408
G0643	06.03.2016 5:07	0.198
G0644	06.03.2016 5:08	0.582
G0645	06.03.2016 5:09	0.981
G0646	06.03.2016 5:12	0.235
G0647	06.03.2016 5:12	0.262
G0427	06.03.2016 5:14	0.903
G0648	06.03.2016 5:20	0.362
G0649	06.03.2016 5:21	0.874
G0428	06.03.2016 5:23	0.462
G0650	06.03.2016 5:35	0.471
G0651	06.03.2016 5:42	0.834
G0652	06.03.2016 5:43	0.326
G0653	06.03.2016 5:47	0.881
G0654	06.03.2016 5:50	0.878
G0655	06.03.2016 5:54	0.971
G0429	06.03.2016 5:56	0.295
G0656	06.03.2016 5:57	0.994
G0430	06.03.2016 6:01	0.98
G0431	06.03.2016 6:04	0.256
G0657	06.03.2016 6:04	0.947
G0432	06.03.2016 6:19	0.122
G0658	06.03.2016 6:19	0.638
G0659	06.03.2016 6:29	0.966
G0433	06.03.2016 6:30	0.267
G0660	06.03.2016 6:31	0.933
G0434	06.03.2016 6:33	0.62
G0435	06.03.2016 6:38	0.865
G0436	06.03.2016 6:44	0.451
G0661	06.03.2016 6:51	0.07
G0662	06.03.2016 6:51	0.208
G0663	06.03.2016 6:56	0.43
G0437	06.03.2016 6:58	0.996
G0438	06.03.2016 7:01	0.289
G0664	06.03.2016 7:07	0.31
G0439	06.03.2016 7:20	0.61
G0665	06.03.2016 7:22	0.408
G0440	06.03.2016 7:29	0.703
G0666	06.03.2016 7:31	0.128
G0441	06.03.2016 7:33	0.338
G0442	06.03.2016 7:40	0.712
G0443	06.03.2016 7:46	0.999
G0444	06.03.2016 7:47	0.671
G0667	06.03.2016 7:53	0.285
G0668	06.03.2016 7:58	0.17
G0445	06.03.2016 8:02	0.73
G0446	06.03.2016 8:03	0.664
G0447	06.03.2016 8:05	0.6
G0448	06.03.2016 8:06	0.893
G0669	06.03.2016 8:12	0.052
G0449	06.03.2016 8:13	0.649
G0450	06.03.2016 8:13	0.601
G0451	06.03.2016 8:14	0.256
G0452	06.03.2016 8:18	0.499
G0453	06.03.2016 8:19	0.328
G0454	06.03.2016 8:20	0.673
G0455	06.03.2016 8:23	0.302
G0456	06.03.2016 8:28	0.676
G0457	06.03.2016 8:30	0.437
G0458	06.03.2016 8:40	0.833
G0459	06.03.2016 8:42	0.543
G0460	06.03.2016 8:45	0.959
G0461	06.03.2016 8:55	0.711
G0462	06.03.2016 8:56	0.727
G0463	06.03.2016 8:59	0.837
G0464	06.03.2016 9:00	0.581
G0465	06.03.2016 9:00	0.72
G0466	06.03.2016 9:06	0.013
G0467	06.03.2016 9:07	0.27
G0468	06.03.2016 9:11	0.693
G0469	06.03.2016 9:13	0.634
G0470	06.03.2016 9:14	0.381
G0471	06.03.2016 9:14	0.192
G0472	06.03.2016 9:18	0.277
G0473	06.03.2016 9:20	0.222
G0474	06.03.2016 9:21	0.697
G0475	06.03.2016 9:22	0.86
G0476	06.03.2016 9:24	0.01
G0477	06.03.2016 9:31	0.602
G0478	06.03.2016 9:34	0.992
G0479	06.03.2016 9:35	0.332
G0480	06.03.2016 9:42	0.44
G0481	06.03.2016 9:46	0.577
G0482	06.03.2016 9:49	0.292
G0483	06.03.2016 9:52	0.55
G0484	06.03.2016 9:54	0.094
G0485	06.03.2016 9:55	0.576
G0670	06.03.2016 9:55	0.519
G0486	06.03.2016 9:57	0.781
G0487	06.03.2016 10:02	0.353
G0488	06.03.2016 10:05	0.504
G0489	06.03.2016 10:05	0.946
G0490	06.03.2016 10:07	0.833
G0491	06.03.2016 10:09	0.23
G0492	06.03.2016 10:10	0.06
G0493	06.03.2016 10:10	0.941
G0494	06.03.2016 10:15	0.722
G0495	06.03.2016 10:16	0.398
G0496	06.03.2016 10:20	0.297
G0497	06.03.2016 10:23	0.992
G0498	06.03.2016 10:24	0.713
G0499	06.03.2016 10:28	0.073
G0500	06.03.2016 10:30	0.496
G0501	06.03.2016 10:33	0.234
G0502	06.03.2016 10:42	0.905
G0503	06.03.2016 10:47	0.624
G0504	06.03.2016 10:50	0.628
G0505	06.03.2016 10:56	0.971
G0506	06.03.2016 10:59	0.778
G0507	06.03.2016 11:02	1
G0508	06.03.2016 11:02	0.972
G0509	06.03.2016 11:06	0.926
G0510	06.03.2016 11:10	0.379
G0671	06.03.2016 11:13	0.363
G0511	06.03.2016 11:15	0.664
G0512	06.03.2016 11:19	0.203
G0513	06.03.2016 11:22	0.074
G0514	06.03.2016 11:22	0.504
G0515	06.03.2016 11:23	0.245
G0516	06.03.2016 11:33	0.195
G0517	06.03.2016 11:33	0.021
G0518	06.03.2016 11:34	0.922
G0519	06.03.2016 11:37	0.49
G0520	06.03.2016 11:40	0.924
G0521	06.03.2016 11:41	0.805
G0522	06.03.2016 11:41	0.67
G0523	06.03.2016 11:51	0.073
G0524	06.03.2016 11:53	0.544
G0525	06.03.2016 11:53	0.892
G0526	06.03.2016 11:59	0.326
G0527	06.03.2016 11:59	0.856
G0528	06.03.2016 11:59	0.993
G0529	06.03.2016 12:01	0.835
G0530	06.03.2016 12:03	0.698
G0531	06.03.2016 12:04	0.864
G0532	06.03.2016 12:07	0.032
G0533	06.03.2016 12:08	0.395
G0534	06.03.2016 12:12	0.129
G0535	06.03.2016 12:15	0.224
G0536	06.03.2016 12:16	0.15
G0537	06.03.2016 12:21	0.006
G0538	06.03.2016 12:25	0.498
G0539	06.03.2016 12:26	0.633
G0540	06.03.2016 12:29	0.07
G0541	06.03.2016 12:31	0.252
G0542	06.03.2016 12:38	0.291
G0543	06.03.2016 12:39	0.137
G0544	06.03.2016 12:40	0.846
G0545	06.03.2016 12:42	0.274
G0546	06.03.2016 12:44	0.343
G0547	06.03.2016 12:46	0.275
G0548	06.03.2016 12:49	0.777
G0549	06.03.2016 12:52	0.291
G0550	06.03.2016 12:53	0.11
G0551	06.03.2016 12:57	0.892
G0552	06.03.2016 12:59	0.63
G0813	07.03.2016 1:03	0.644
G0814	07.03.2016 1:04	0.586
G0815	07.03.2016 1:06	0.148
G0816	07.03.2016 1:07	0.9
G0817	07.03.2016 1:07	0.043
G0818	07.03.2016 1:10	0.219
G0819	07.03.2016 1:12	0.538
G0820	07.03.2016 1:15	0.099
G0821	07.03.2016 1:19	0.933
G0822	07.03.2016 1:20	0.439
G0823	07.03.2016 1:27	0.968
G0824	07.03.2016 1:29	0.298
G0825	07.03.2016 1:29	0.157
G0826	07.03.2016 1:33	0.652
G0827	07.03.2016 1:34	0.171
G0828	07.03.2016 1:45	0.416
G0829	07.03.2016 1:47	0.334
G0830	07.03.2016 1:48	0.817
G0831	07.03.2016 1:50	0.022
G0832	07.03.2016 1:53	0.985
G0833	07.03.2016 1:55	0.624
G0834	07.03.2016 2:00	0.961
G0835	07.03.2016 2:03	0.552
G0836	07.03.2016 2:04	0.379
G0837	07.03.2016 2:07	0.802
G0838	07.03.2016 2:11	0.239
G0839	07.03.2016 2:15	0.687
G0840	07.03.2016 2:15	0.737
G0841	07.03.2016 2:18	0.814
G0842	07.03.2016 2:20	0.405
G0843	07.03.2016 2:26	0.037
G0844	07.03.2016 2:27	0.067
G0845	07.03.2016 2:27	0.239
G0846	07.03.2016 2:28	0.796
G0847	07.03.2016 2:29	0.261
G0848	07.03.2016 2:30	0.266
G0849	07.03.2016 2:34	0.324
G0850	07.03.2016 2:36	0.197
G0851	07.03.2016 2:39	0.814
G0852	07.03.2016 2:39	0.038
G0853	07.03.2016 2:40	0.51
G0854	07.03.2016 2:41	0.182
G0855	07.03.2016 2:44	0.117
G0856	07.03.2016 2:45	0.948
G0857	07.03.2016 2:46	0.641
G0858	07.03.2016 2:46	0.815
G0859	07.03.2016 2:49	0.458
G0860	07.03.2016 2:50	0.091
G0861	07.03.2016 2:53	0.252
G0862	07.03.2016 2:56	0.784
G0863	07.03.2016 3:04	0.155
G0864	07.03.2016 3:07	0.119
G0865	07.03.2016 3:10	0.621
G0866	07.03.2016 3:12	0.374
G0867	07.03.2016 3:12	0.794
G0868	07.03.2016 3:13	0.596
G0672	07.03.2016 3:14	0.511
G0869	07.03.2016 3:16	0.836
G0870	07.03.2016 3:17	0.576
G0871	07.03.2016 3:20	0.934
G0872	07.03.2016 3:21	0.767
G0873	07.03.2016 3:28	0.063
G0874	07.03.2016 3:28	0.077
G0875	07.03.2016 3:31	0.378
G0876	07.03.2016 3:33	0.184
G0877	07.03.2016 3:34	0.637
G0878	07.03.2016 3:34	0.967
G0879	07.03.2016 3:37	0.785
G0880	07.03.2016 3:40	0.336
