ID	Дата	Показатель	Показатель 2	Показатель 3	Показатель 4	Показатель 5
G077	03.03.2016 5:13	0.847	0.232	0.851	0.905	70
G078	03.03.2016 5:18	0.149	0.14	0.25	0.722	68
G079	03.03.2016 5:50	0.735	0.936	0.689	0.185	48
G080	03.03.2016 6:09	0.101	0.769	0.593	0.266	32
G081	03.03.2016 6:16	0.883	0.445	0.232	0.088	51
G082	03.03.2016 6:52	0.072	0.545	0.61	0.189	39
G083	03.03.2016 6:56	0.346	0.101	0.351	0.052	41
G084	03.03.2016 7:32	0.854	0.139	0.926	0.54	75
G085	03.03.2016 7:44	0.402	0.159	0.74	0.06	7
G086	03.03.2016 7:50	0.286	0.761	0.597	0.513	13
G01	03.03.2016 8:19	0.437	0.06	0.598	0.216	26
G087	03.03.2016 8:26	0.52	0.679	0.617	0.492	44
G02	03.03.2016 8:26	0.009	0.717	0.346	0.958	74
G03	03.03.2016 8:32	0.319	0.344	0.88	0.855	73
G04	03.03.2016 8:37	0.98	0.246	0.116	0.688	51
G088	03.03.2016 8:38	0.53	0.004	0.945	0.363	48
G05	03.03.2016 8:51	0.024	0.434	0.857	0.501	87
G06	03.03.2016 9:05	0.276	0.235	0.987	0.072	4
G07	03.03.2016 9:15	0.481	0.348	0.642	0.282	47
G08	03.03.2016 9:23	0.236	0.027	0.884	0.609	39
G09	03.03.2016 9:44	0.069	0.555	0.742	0.271	14
G010	03.03.2016 9:48	0.238	0.643	0.782	0.664	31
G011	03.03.2016 9:52	0.434	0.529	0.367	0.661	46
G089	03.03.2016 9:57	0.268	0.833	0.567	0.541	4
G012	03.03.2016 10:06	0.387	0.033	0.046	0.432	33
G013	03.03.2016 10:11	0.597	0.272	0.826	0.756	79
G014	03.03.2016 10:14	0.122	0.944	0.864	0.75	10
G015	03.03.2016 10:20	0.072	0.673	0.278	0.363	60
G016	03.03.2016 10:22	0.818	0.641	0.47	0.147	27
G017	03.03.2016 10:29	0.115	0.756	0.91	0.468	68
G018	03.03.2016 10:33	0.498	0.936	0.673	0.534	20
G019	03.03.2016 10:35	0.954	0.398	0.369	0.596	91
G020	03.03.2016 10:43	0.274	0.549	0.296	0.483	77
G021	03.03.2016 10:47	0.635	0.072	0.092	0.491	93
G022	03.03.2016 10:47	0.257	0.259	0.126	0.949	79
G023	03.03.2016 10:50	0.309	0.138	0.994	0.809	74
G024	03.03.2016 10:53	0.817	0.271	0.876	0.799	35
G025	03.03.2016 10:55	0.194	0.206	0.067	0.916	81
G026	03.03.2016 10:59	0.506	0.093	0.054	0.54	29
G027	03.03.2016 11:01	0.372	0.75	0.595	0.745	23
G028	03.03.2016 11:04	0.026	0.823	0.598	0.386	97
G029	03.03.2016 11:31	0.84	0.451	0.272	0.491	65
G030	03.03.2016 12:13	0.581	0.372	0.204	0.158	24
G031	03.03.2016 12:19	0.151	0.294	0.287	0.818	37
G032	03.03.2016 12:29	0.229	0.554	0.516	0.801	63
G033	03.03.2016 12:32	0.339	0.342	0.725	0.764	24
G034	03.03.2016 12:36	0.57	0.623	0.355	0.206	1
G035	03.03.2016 12:38	0.994	0.782	0.296	0.722	26
G0164	04.03.2016 1:03	0.445	0.523	0.43	0.347	66
G0165	04.03.2016 1:11	0.993	0.321	0.473	0.766	50
G0166	04.03.2016 1:15	0.401	0.847	0.76	0.68	53
G0167	04.03.2016 1:25	0.842	0.519	0.027	0.795	12
G0168	04.03.2016 1:31	0.528	0.237	0.567	0.238	100
G0169	04.03.2016 1:38	0.07	0.704	0.241	0.808	38
G0170	04.03.2016 1:41	0.111	0.972	0.665	0.104	60
G0171	04.03.2016 1:43	0.033	0.091	0.875	0.025	52
G0172	04.03.2016 1:44	0.761	0.952	0.006	0.372	48
G0173	04.03.2016 1:52	0.992	0.704	0.797	0.534	68
G0174	04.03.2016 1:52	0.323	0.341	0.951	0.5	15
G0175	04.03.2016 1:55	0.244	0.313	0.665	0.674	81
G0176	04.03.2016 2:01	0.351	0.293	0.858	0.231	12
G0177	04.03.2016 2:03	0.497	0.43	0.915	0.993	48
G0178	04.03.2016 2:07	0.05	0.727	0.974	0.073	30
G0179	04.03.2016 2:09	0.929	0.372	0.065	0.755	40
G0180	04.03.2016 2:13	0.264	0.168	0.646	0.349	21
G0181	04.03.2016 2:20	0.664	0.382	0.329	0.021	83
G0182	04.03.2016 2:31	0.613	0.656	0.844	0.801	5
G0183	04.03.2016 2:32	0.075	0.816	0.545	0.287	76
G0184	04.03.2016 2:38	0.078	0.705	0.992	0.758	51
G0185	04.03.2016 2:51	0.312	0.388	0.417	0.684	92
G0186	04.03.2016 2:58	0.568	0.341	0.116	0.873	46
G0187	04.03.2016 3:02	0.512	0.488	0.065	0.74	60
G0188	04.03.2016 3:07	0.961	0.188	0.303	0.416	42
G0189	04.03.2016 3:11	0.124	0.544	0.891	0.711	26
G0190	04.03.2016 3:11	0.266	0.624	0.473	0.13	83
G0191	04.03.2016 3:22	0.414	0.469	0.759	0.464	2
G0192	04.03.2016 3:26	0.606	0.997	0.461	0.653	19
G0193	04.03.2016 3:26	0.485	0.149	0.483	0.934	86
G0194	04.03.2016 3:31	0.976	0.906	0.416	0.498	92
G0195	04.03.2016 3:32	0.588	0.012	0.629	0.133	75
G0196	04.03.2016 3:33	0.149	0.542	0.508	0.601	11
G0197	04.03.2016 3:35	0.265	0.645	0.633	0.727	46
G0198	04.03.2016 3:44	0.737	0.093	0.951	0.427	7
G0199	04.03.2016 3:45	0.438	0.482	0.226	0.177	30
G0200	04.03.2016 3:51	0.376	0.206	0.335	0.639	66
G0201	04.03.2016 3:58	0.032	0.552	0.177	0.438	64
G0202	04.03.2016 4:14	0.364	0.526	0.275	0.33	47
G0203	04.03.2016 4:32	0.674	0.289	0.342	0.225	18
G0204	04.03.2016 4:40	0.757	0.278	0.369	0.823	76
G0205	04.03.2016 4:46	0.431	0.406	0.033	0.834	11
G0206	04.03.2016 4:48	0.283	0.925	0.468	0.02	28
G0207	04.03.2016 4:48	0.167	0.829	0.694	0.538	6
G0208	04.03.2016 4:49	0.118	0.889	0.261	0.329	88
G0209	04.03.2016 5:03	0.713	0.698	0.891	0.531	81
G0210	04.03.2016 5:07	0.106	0.323	0.174	0.145	86
G090	04.03.2016 5:32	0.527	0.423	0.614	0.448	94
G091	04.03.2016 5:46	0.985	0.956	0.573	0.89	29
G092	04.03.2016 5:55	0.646	0.812	0.897	0.437	14
G093	04.03.2016 6:00	0.133	0.001	0.293	0.628	94
G094	04.03.2016 6:00	0.279	0.251	0.738	0.799	41
G095	04.03.2016 6:03	0.9	0.115	0.466	0.23	22
G096	04.03.2016 6:06	0.296	0.958	0.344	0.188	12
G0211	04.03.2016 6:14	0.184	0.432	0.669	0.106	80
G0212	04.03.2016 6:16	0.743	0.29	0.686	0.377	77
G0213	04.03.2016 6:28	0.266	0.656	0.386	0.504	7
G097	04.03.2016 6:34	0.41	0.115	0.359	0.583	63
G0214	04.03.2016 6:34	0.458	0.214	0.774	0.363	47
G0215	04.03.2016 6:41	0.978	0.253	0.761	0.354	22
G098	04.03.2016 7:10	0.495	0.469	0.753	0.735	56
G099	04.03.2016 7:15	0.384	0.966	0.586	0.025	53
G0100	04.03.2016 7:19	0.312	0.007	0.398	0.77	93
G0216	04.03.2016 7:19	0.402	0.526	0.625	0.724	10
G0217	04.03.2016 7:23	0.537	0.972	0.65	0.254	94
G0101	04.03.2016 7:31	0.057	0.834	0.881	0.957	90
G0218	04.03.2016 7:33	0.159	0.473	0.336	0.724	25
G0219	04.03.2016 7:38	0.934	0.106	0.996	0.738	2
G0102	04.03.2016 8:14	0.057	0.054	0.505	0.132	18
G0220	04.03.2016 8:20	0.803	0.622	0.993	0.299	19
G0103	04.03.2016 8:22	0.884	0.214	0.074	0.083	85
G0104	04.03.2016 8:25	0.791	0.537	0.327	0.344	8
G0221	04.03.2016 8:27	0.825	0.011	0.786	0.623	17
G0105	04.03.2016 8:33	0.673	0.751	0.254	0.886	45
G0106	04.03.2016 8:52	0.467	0.706	0.481	0.603	62
G0107	04.03.2016 8:53	0.276	0.848	0.502	0.625	6
G0222	04.03.2016 8:54	0.113	0.486	0.682	0.597	86
G0108	04.03.2016 8:56	0.553	0.093	0.268	0.906	47
G0109	04.03.2016 8:57	0.728	0.239	0.491	0.381	14
G0110	04.03.2016 8:58	0.181	0.491	0.517	0.232	58
G0111	04.03.2016 9:03	0.139	0.4	0.795	0.981	50
G0112	04.03.2016 9:10	0.583	0.914	0.596	0.338	0
G0113	04.03.2016 9:14	0.357	0.853	0.792	0.283	86
G0223	04.03.2016 9:15	0.658	0.281	0.168	0.829	30
G0114	04.03.2016 9:29	0.865	0.898	0.823	0.197	80
G0115	04.03.2016 9:29	0.322	0.809	0.445	0.386	93
G0116	04.03.2016 9:31	0.674	0.279	0.517	0.392	29
G0117	04.03.2016 9:35	0.67	0.326	0.745	0.524	12
G0118	04.03.2016 9:40	0.684	0.278	0.253	0.593	12
G0119	04.03.2016 9:48	0.39	0.639	0.354	0.922	47
G0120	04.03.2016 9:51	0.767	0.871	0.928	0.436	20
G0121	04.03.2016 10:07	0.38	0.973	0.71	0.308	38
G0122	04.03.2016 10:12	0.806	0.938	0.044	0.889	67
G0123	04.03.2016 10:15	0.564	0.468	0.884	0.917	34
G0124	04.03.2016 10:16	0.938	0.549	0.103	0.234	78
G0125	04.03.2016 10:22	0.087	0.741	0.392	0.496	99
G0126	04.03.2016 10:27	0.378	0.303	0.316	0.61	67
G0127	04.03.2016 10:31	0.586	0.504	0.303	0.885	97
G0128	04.03.2016 10:32	0.641	0.732	0.626	0.126	85
G0129	04.03.2016 10:33	0.571	0.258	0.672	0.158	67
G0130	04.03.2016 10:35	0.646	0.77	0.039	0.523	58
G0131	04.03.2016 10:38	0.134	0.033	0.275	0.317	67
G0224	04.03.2016 10:39	0.311	0.28	0.274	0.415	3
G0132	04.03.2016 10:45	0.955	0.203	0.667	0.564	12
G0133	04.03.2016 10:49	0.691	0.645	0.719	0.077	24
G0134	04.03.2016 10:55	0.722	0.357	0.546	0.119	83
G0135	04.03.2016 11:04	0.776	0.426	0.703	0.805	94
G0136	04.03.2016 11:10	0.44	0.236	0.426	0.615	22
G0137	04.03.2016 11:12	0.554	0.075	0.083	0.838	11
G0138	04.03.2016 11:21	0.492	0.732	0.633	0.048	10
G0139	04.03.2016 11:22	0.166	0.717	0.136	0.836	40
G0140	04.03.2016 11:25	0.527	0.944	0.607	0.286	20
G0141	04.03.2016 11:28	0.785	0.992	0.772	0.928	39
G0142	04.03.2016 11:32	0.139	0.307	0.513	0.152	58
G0143	04.03.2016 11:35	0.485	0.954	0.052	0.32	58
G0144	04.03.2016 11:39	0.586	0.772	0.173	0.058	81
G0145	04.03.2016 11:44	0.71	0.046	0.025	0.463	27
G0146	04.03.2016 11:45	0.464	0.059	0.305	0.208	100
G0147	04.03.2016 11:49	0.28	0.123	0.871	0.785	22
G0148	04.03.2016 12:04	0.874	0.963	0.075	0.361	57
G0149	04.03.2016 12:07	0.98	0.547	0.366	0.988	10
G0150	04.03.2016 12:10	0.263	0.732	0.964	0.156	93
G0151	04.03.2016 12:15	0.069	0.338	0.645	0.906	81
G0152	04.03.2016 12:24	0.371	0.496	0.942	0.006	90
G0153	04.03.2016 12:26	0.171	0.396	0.294	0.919	55
G0154	04.03.2016 12:27	0.572	0.774	0.963	0.54	95
G0155	04.03.2016 12:31	0.459	0.775	0.741	0.944	77
G0156	04.03.2016 12:32	0.038	0.023	0.765	0.626	32
G0157	04.03.2016 12:37	0.519	0.028	0.969	0.974	84
G0158	04.03.2016 12:39	0.464	0.274	0.986	0.943	83
G0159	04.03.2016 12:42	0.109	0.611	0.533	0.187	64
G0160	04.03.2016 12:46	0.354	0.806	0.589	0.116	65
G0161	04.03.2016 12:47	0.046	0.349	0.899	0.616	88
G0162	04.03.2016 12:51	0.92	0.901	0.609	0.425	74
G0163	04.03.2016 12:57	0.987	0.964	0.085	0.383	27
G0329	05.03.2016 1:00	0.252	0.654	0.198	0.063	20
G0330	05.03.2016 1:04	0.658	0.67	0.627	0.49	50
G0331	05.03.2016 1:08	0.474	0.841	0.994	0.963	41
G0332	05.03.2016 1:10	0.561	0.826	0.844	0.181	2
G0333	05.03.2016 1:13	0.793	0.862	0.8	0.189	94
G0334	05.03.2016 1:17	0.991	0.649	0.423	0.857	63
G0335	05.03.2016 1:20	0.645	0.733	0.572	0.885	35
G0336	05.03.2016 1:23	0.877	0.001	0.321	0.565	92
G0337	05.03.2016 1:26	0.217	0.149	0.721	0.789	71
G0338	05.03.2016 1:29	0.059	0.224	0.965	0.035	46
G0339	05.03.2016 1:30	0.371	0.607	0.732	0.31	1
G0340	05.03.2016 1:36	0.669	0.047	0.783	0.294	87
G0341	05.03.2016 1:39	0.2	0.592	0.088	0.165	36
G0342	05.03.2016 1:43	0.005	0.553	0.031	0.834	65
G0343	05.03.2016 1:48	0.934	0.825	0.51	0.583	97
G0344	05.03.2016 1:54	0.944	0.208	0.942	0.341	85
G0345	05.03.2016 1:56	0.446	0.569	0.514	0.067	0
G0346	05.03.2016 1:57	0.496	0.953	0.185	0.995	52
G0347	05.03.2016 2:00	0.121	0.012	0.272	0.717	16
G0348	05.03.2016 2:03	0.694	0.356	0.637	0.325	6
G0349	05.03.2016 2:07	0.968	0.691	0.793	0.126	17
G0350	05.03.2016 2:09	0.554	0.834	0.465	0.629	23
G0351	05.03.2016 2:10	0.593	0.999	0.408	0.824	0
G0352	05.03.2016 2:11	0.681	0.926	0.525	0.955	14
G0353	05.03.2016 2:15	0.665	0.741	0.58	0.296	98
G0354	05.03.2016 2:16	0.885	0.64	0.068	0.65	95
G0355	05.03.2016 2:26	0.692	0.759	0.014	0.558	62
G0356	05.03.2016 2:29	0.443	0.853	0.767	0.462	38
G0357	05.03.2016 2:31	0.056	0.616	0.085	0.292	36
G0358	05.03.2016 2:33	0.991	0.782	0.043	0.216	10
G0359	05.03.2016 2:36	0.194	0.344	0.581	0.55	4
G0360	05.03.2016 2:38	0.957	0.51	0.719	0.041	85
G0361	05.03.2016 2:46	0.282	0.256	0.754	0.02	22
G0362	05.03.2016 2:49	0.611	0.58	0.973	0.167	47
G0363	05.03.2016 2:50	0.715	0.821	0.685	0.847	33
G0364	05.03.2016 2:53	0.627	0.648	0.614	0.284	63
G0365	05.03.2016 2:54	0.736	0.592	0.962	0.026	62
G0366	05.03.2016 2:56	0.299	0.2	0.665	0.46	46
G0367	05.03.2016 3:00	0.771	0.212	0.67	0.348	87
G0368	05.03.2016 3:02	0.519	0.331	0.255	0.622	97
G0369	05.03.2016 3:04	0.919	0.472	0.696	0.921	0
G0370	05.03.2016 3:07	0.174	0.588	0.836	0.606	25
G0371	05.03.2016 3:09	0.724	0.432	0.341	0.241	44
G0372	05.03.2016 3:12	0.017	0.872	0.698	0.76	52
G0373	05.03.2016 3:15	0.404	0.609	0.248	0.83	33
G0374	05.03.2016 3:18	0.145	0.41	0.804	0.114	97
G0375	05.03.2016 3:23	0.087	0.223	0.646	0.442	50
G0376	05.03.2016 3:23	0.313	0.776	0.941	0.114	45
G0377	05.03.2016 3:26	0.996	0.511	0.897	0.821	32
G0378	05.03.2016 3:33	0.155	0.99	0.173	0.918	92
G0379	05.03.2016 3:42	0.945	0.095	0.367	0.033	31
G0380	05.03.2016 3:43	0.422	0.669	0.614	0.251	72
G0381	05.03.2016 3:50	0.454	0.423	0.599	0.349	60
G0382	05.03.2016 3:51	0.245	0.246	0.517	0.824	72
G0383	05.03.2016 3:52	0.454	0.262	0.806	0.698	15
G0384	05.03.2016 3:53	0.615	0.246	0.663	0.322	19
G0385	05.03.2016 3:54	0.393	0.262	0.674	0.685	88
G0386	05.03.2016 3:55	0.48	0.63	0.076	0.943	55
G0387	05.03.2016 3:57	0.66	0.578	0.474	0.161	49
G0388	05.03.2016 3:58	0.474	0.199	0.039	0.507	87
G0389	05.03.2016 4:28	0.212	0.555	0.494	0.365	20
G0390	05.03.2016 4:28	0.038	0.061	0.435	0.127	27
G0391	05.03.2016 4:47	0.131	0.478	0.777	0.624	21
G0225	05.03.2016 4:48	0.97	0.16	0.386	0.443	5
G0392	05.03.2016 4:48	0.165	0.379	0.172	0.617	6
G0393	05.03.2016 4:50	0.007	0.867	0.217	0.412	67
G0394	05.03.2016 4:51	0.121	0.913	0.704	0.202	75
G0395	05.03.2016 4:54	0.232	0.636	0.726	0.67	54
G0396	05.03.2016 5:02	0.934	0.293	0.246	0.805	65
G0397	05.03.2016 5:09	0.683	0.721	0.768	0.449	62
G0398	05.03.2016 5:15	0.267	0.288	0.514	0.366	30
G0399	05.03.2016 5:25	0.954	0.95	0.151	0.063	83
G0226	05.03.2016 5:34	0.316	0.282	0.367	0.862	98
G0400	05.03.2016 5:36	0.424	0.576	0.845	0.947	28
G0401	05.03.2016 5:42	0.035	0.399	0.424	0.374	4
G0402	05.03.2016 5:48	0.585	0.174	0.506	0.272	28
G0227	05.03.2016 6:00	0.869	0.689	0.991	0.732	14
G0403	05.03.2016 6:06	0.354	0.609	0.305	0.107	25
G0228	05.03.2016 6:12	0.418	0.372	0.298	0.713	24
G0404	05.03.2016 6:13	0.739	0.067	0.079	0.159	31
G0405	05.03.2016 6:16	0.649	0.156	0.06	0.805	43
G0406	05.03.2016 6:26	0.456	0.149	0.788	0.062	80
G0229	05.03.2016 6:30	0.607	0.6	0.332	0.534	53
G0407	05.03.2016 6:39	0.488	0.018	0.288	0.236	57
G0230	05.03.2016 6:40	0.379	0.56	0.695	0.354	57
G0408	05.03.2016 6:46	0.862	0.623	0.412	0.31	5
G0409	05.03.2016 6:48	0.624	0.679	0.742	0.093	4
G0231	05.03.2016 6:53	0.473	0.975	0.369	0.1	18
G0410	05.03.2016 6:58	0.665	0.952	0.881	0.973	91
G0411	05.03.2016 7:01	0.384	0.49	0.452	0.158	14
G0232	05.03.2016 7:07	0.152	0.347	0.452	0.182	59
G0412	05.03.2016 7:10	0.989	0.391	0.061	0.875	86
G0413	05.03.2016 7:13	0.126	0.492	0.154	0.016	57
G0233	05.03.2016 7:18	0.578	0.178	0.034	0.155	41
G0234	05.03.2016 7:24	0.046	0.421	0.783	0.575	92
G0235	05.03.2016 7:29	0.477	0.155	0.297	0.644	13
G0414	05.03.2016 7:30	0.531	0.388	0.289	0.032	65
G0415	05.03.2016 7:41	0.887	0.022	0.82	0.53	63
G0236	05.03.2016 7:45	0.26	0.735	0.137	0.458	80
G0237	05.03.2016 7:46	0.087	0.532	0.889	0.893	53
G0416	05.03.2016 7:48	0.32	0.833	0.989	0.206	43
G0238	05.03.2016 7:53	0.676	0.203	0.694	0.631	14
G0239	05.03.2016 7:55	0.169	0.076	0.689	0.869	30
G0417	05.03.2016 7:55	0.246	0.101	0.218	0.941	78
G0418	05.03.2016 7:58	0.108	0.944	0.57	0.791	54
G0240	05.03.2016 8:02	0.179	0.682	0.453	0.362	7
G0241	05.03.2016 8:03	0.531	0.125	0.069	0.14	93
G0242	05.03.2016 8:06	0.387	0.693	0.918	0.385	94
G0419	05.03.2016 8:06	0.03	0.699	0.651	0.551	17
G0243	05.03.2016 8:14	0.684	0.142	0.493	0.62	51
G0244	05.03.2016 8:16	0.563	0.389	0.054	0.326	83
G0245	05.03.2016 8:19	0.273	0.326	0.566	0.531	69
G0246	05.03.2016 8:19	0.046	0.87	0.839	0.197	21
G0247	05.03.2016 8:27	0.475	0.923	0.493	0.73	71
G0420	05.03.2016 8:28	0.869	0.144	0.255	0.651	96
G0248	05.03.2016 8:30	0.58	0.145	0.369	0.836	39
G0421	05.03.2016 8:39	0.556	0.97	0.419	0.821	50
G0422	05.03.2016 8:40	0.352	0.958	0.11	0.89	25
G0249	05.03.2016 8:46	0.21	0.368	0.802	0.937	31
G0423	05.03.2016 8:51	0.673	0.358	0.851	0.343	39
G0250	05.03.2016 8:55	0.937	0.179	0.039	0.339	98
G0251	05.03.2016 9:04	0.758	0.713	0.657	0.599	25
G0252	05.03.2016 9:07	0.339	0.684	0.034	0.051	7
G0253	05.03.2016 9:07	0.726	0.173	0.542	0.121	13
G0254	05.03.2016 9:11	0.865	0.292	0.399	0.924	86
G0255	05.03.2016 9:13	0.825	0.126	0.801	0.103	55
G0256	05.03.2016 9:17	0.396	0.29	0.185	0.333	80
G0257	05.03.2016 9:21	0.633	0.738	0.663	0.7	38
G0258	05.03.2016 9:25	0.529	0.65	0.94	0.446	86
G0259	05.03.2016 9:26	0.867	0.538	0.242	0.826	86
G0260	05.03.2016 9:29	0.59	0.904	0.071	0.042	65
G0261	05.03.2016 9:31	0.358	0.076	0.815	0.508	37
G0262	05.03.2016 9:34	0.09	0.079	0.527	0.909	36
G0263	05.03.2016 9:38	0.138	0.638	0.404	0.81	2
G0264	05.03.2016 9:39	0.158	0.695	0.781	0.787	52
G0265	05.03.2016 9:39	0.664	0.025	0.669	0.312	7
G0266	05.03.2016 9:41	0.009	0.828	0.141	0.888	58
G0424	05.03.2016 9:42	0.888	0.396	0.122	0.156	14
G0267	05.03.2016 9:42	0.831	0.227	0.36	0.968	28
G0268	05.03.2016 9:49	0.388	0.172	0.646	0.653	27
G0269	05.03.2016 9:50	0.088	0.506	0.565	0.967	82
G0270	05.03.2016 9:54	0.016	0.002	0.33	0.455	77
G0271	05.03.2016 9:55	0.298	0.39	0.499	0.212	92
G0272	05.03.2016 9:57	0.671	0.794	0.614	0.284	86
G0273	05.03.2016 9:58	0.343	0.022	0.07	0.177	58
G0274	05.03.2016 10:07	0.869	0.804	0.749	0.229	15
G0275	05.03.2016 10:12	0.384	0.342	0.221	0.811	76
G0276	05.03.2016 10:13	0.839	0.793	0.568	0.605	95
G0277	05.03.2016 10:13	0.066	0.518	0.105	0.43	78
G0278	05.03.2016 10:16	0.989	0.242	0.572	0.369	34
G0279	05.03.2016 10:16	0.962	0.446	0.573	0.161	63
G0280	05.03.2016 10:20	0.833	0.634	0.322	0.106	9
G0281	05.03.2016 10:23	0.681	0.31	0.982	0.962	97
G0282	05.03.2016 10:26	0.839	0.792	0.154	0.572	42
G0283	05.03.2016 10:28	0.786	0.206	0.306	0.196	7
G0284	05.03.2016 10:34	0.377	0.285	0.194	0.801	46
G0285	05.03.2016 10:37	0.264	0.824	0.566	0.768	48
G0286	05.03.2016 10:39	0.824	0.896	0.698	0.776	70
G0287	05.03.2016 10:42	0.777	0.203	0.568	0.829	51
G0288	05.03.2016 10:46	0.296	0.151	0.695	0.664	5
G0289	05.03.2016 10:53	0.823	0.533	0.96	0.037	60
G0290	05.03.2016 10:57	0.14	0.907	0.946	0.603	90
G0291	05.03.2016 11:00	0.458	0.037	0.591	0.387	43
G0292	05.03.2016 11:01	0.661	0.012	0.215	0.07	84
G0293	05.03.2016 11:02	0.707	0.897	0.195	0.594	83
G0294	05.03.2016 11:07	0.258	0.019	0.858	0.791	31
G0295	05.03.2016 11:11	0.551	0.262	0.377	0.05	60
G0296	05.03.2016 11:12	0.679	0.965	0.713	0.231	99
G0425	05.03.2016 11:25	0.75	0.298	0.916	0.333	1
G0297	05.03.2016 11:28	0.077	0.212	0.311	0.634	2
G0298	05.03.2016 11:29	0.944	0.322	0.384	0.288	22
G0299	05.03.2016 11:32	0.506	0.354	0.4	0.632	5
G0300	05.03.2016 11:39	0.009	0.979	0.069	0.66	50
G0301	05.03.2016 11:43	0.057	0.182	0.777	0.418	7
G0302	05.03.2016 11:46	0.539	0.493	0.218	0.299	15
G0303	05.03.2016 11:47	0.395	0.713	0.433	0.472	11
G0304	05.03.2016 11:48	0.211	0.979	0.589	0.924	42
G0305	05.03.2016 11:51	0.872	0.284	0.015	0.862	66
G0306	05.03.2016 11:52	0.697	0.814	0.317	0.446	6
G0307	05.03.2016 11:55	0.86	0.703	0.596	0.098	2
G0308	05.03.2016 12:00	0.254	0.074	0.09	0.86	81
G0309	05.03.2016 12:02	0.378	0.469	0.759	0.552	33
G0310	05.03.2016 12:06	0.268	0.031	0.64	0.694	63
G0311	05.03.2016 12:09	0.777	0.047	0.992	0.444	55
G0312	05.03.2016 12:11	0.386	0.713	0.547	0.024	80
G0313	05.03.2016 12:16	0.943	0.217	0.402	0.38	15
G0314	05.03.2016 12:21	0.445	0.529	0.353	0.048	75
G0315	05.03.2016 12:22	0.586	0.471	0.728	0.468	62
G0316	05.03.2016 12:24	0.923	0.954	0.99	0.229	81
G0317	05.03.2016 12:28	0.448	0.482	0.686	0.98	89
G0318	05.03.2016 12:32	0.925	0.275	0.52	0.991	69
G0319	05.03.2016 12:35	0.026	0.636	0.604	0.591	44
G0320	05.03.2016 12:35	0.594	0.405	0.186	0.986	77
G0321	05.03.2016 12:37	0.481	0.621	0.391	0.168	26
G0322	05.03.2016 12:41	0.105	0.751	0.784	0.92	30
G0323	05.03.2016 12:45	0.067	0.082	0.8	0.133	70
G0324	05.03.2016 12:47	0.899	0.156	0.33	0.94	26
G0325	05.03.2016 12:48	0.553	0.339	0.019	0.378	2
G0326	05.03.2016 12:50	0.309	0.893	0.061	0.586	19
G0327	05.03.2016 12:59	0.964	0.162	0.562	0.751	81
